"","NGenes","Direction","PValue","FDR"
"REACTOME_GLUCOSE_METABOLISM",91,"Up",0.0338534775953512,0.324781800680401
"VILLANUEVA_LIVER_CANCER_KRT19_UP",267,"Up",0.0339230382752687,0.324885111800927
"REACTOME_DNA_REPAIR",358,"Up",0.0340022311321785,0.325080154388267
"REACTOME_RECYCLING_OF_EIF2_GDP",9,"Up",0.0340615366638968,0.325084717797399
"WILSON_PROTEASES_AT_TUMOR_BONE_INTERFACE_DN",3,"Up",0.0341810761945575,0.325663150088146
"GRADE_COLON_AND_RECTAL_CANCER_UP",376,"Up",0.034606749649261,0.329151288402438
"REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION",117,"Up",0.034977199072905,0.332103096352015
"DAVIES_MULTIPLE_MYELOMA_VS_MGUS_UP",49,"Up",0.0356230166697023,0.33765487155536
"REACTOME_SIGNALING_BY_RHO_GTPASES",493,"Up",0.035782769547502,0.338588329656672
"REACTOME_FGFR1B_LIGAND_BINDING_AND_ACTIVATION",8,"Down",0.0359423727445164,0.339239937676161
"FIGUEROA_AML_METHYLATION_CLUSTER_1_DN",76,"Up",0.0360121037925338,0.339239937676161
"WHITFIELD_CELL_CYCLE_G2_M",274,"Up",0.0360358022830087,0.339239937676161
"REACTOME_RHO_GTPASES_ACTIVATE_RHOTEKIN_AND_RHOPHILINS",6,"Up",0.0361129211842254,0.339387759292567
"BIOCARTA_PLK3_PATHWAY",9,"Up",0.0365271912519498,0.341728863517439
"BIOCARTA_CELLCYCLE_PATHWAY",23,"Up",0.0365350071157454,0.341728863517439
"REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",119,"Up",0.0366512855861379,0.341728863517439
"PARK_HSC_AND_MULTIPOTENT_PROGENITORS",60,"Up",0.0366570590971618,0.341728863517439
"REACTOME_LIPID_PARTICLE_ORGANIZATION",4,"Down",0.0366712298345714,0.341728863517439
"HAHTOLA_SEZARY_SYNDROM_UP",139,"Up",0.0372702270333934,0.346726051492478
"BLUM_RESPONSE_TO_SALIRASIB_DN",501,"Up",0.0375697845673211,0.348925427763053
"FISCHER_G1_S_CELL_CYCLE",286,"Up",0.0377043695335953,0.349587828930617
"REACTOME_HDMS_DEMETHYLATE_HISTONES",48,"Up",0.0378647776450969,0.35019885303614
"MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_2",9,"Up",0.0378970166694918,0.35019885303614
"BENPORATH_CYCLING_GENES",841,"Up",0.0381764047453622,0.352191673827832
"REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES",73,"Up",0.0384524883925609,0.353981312673409
"HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_2_UP",102,"Up",0.0386393569930655,0.353981312673409
"REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE",49,"Down",0.0387002854520632,0.353981312673409
"DE_YY1_TARGETS_UP",29,"Up",0.0387098426602345,0.353981312673409
"KAUFFMANN_DNA_REPAIR_GENES",248,"Up",0.0387588614445482,0.353981312673409
"HINATA_NFKB_TARGETS_KERATINOCYTE_DN",28,"Down",0.0387595218969149,0.353981312673409
"REACTOME_DEFECTS_IN_BIOTIN_BTN_METABOLISM",9,"Down",0.0388673712798903,0.353981312673409
"MITSIADES_RESPONSE_TO_APLIDIN_DN",334,"Up",0.0388828550113571,0.353981312673409
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL",18,"Down",0.0390103493822644,0.35455787941841
"LEE_LIVER_CANCER_MYC_UP",58,"Up",0.0392843004176367,0.356461484577768
"REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN",56,"Up",0.0395855959292001,0.358606562466819
"AFFAR_YY1_TARGETS_DN",368,"Up",0.039731978225009,0.359343554290343
"REACTOME_SYNTHESIS_OF_PI",6,"Down",0.0398782894981661,0.360077496351088
"HONRADO_BREAST_CANCER_BRCA1_VS_BRCA2",23,"Up",0.0401395382629328,0.361063321581194
"REACTOME_FGFRL1_MODULATION_OF_FGFR1_SIGNALING",8,"Down",0.0401662538791284,0.361063321581194
"REACTOME_PROCESSING_OF_SMDT1",17,"Up",0.0401834858437268,0.361063321581194
"REACTOME_MITOCHONDRIAL_CALCIUM_ION_TRANSPORT",27,"Up",0.0405385956919733,0.363662791873124
"REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES",33,"Up",0.0407128502565458,0.364634052702873
"REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING",39,"Up",0.0408808633325263,0.36554636047822
"KYNG_WERNER_SYNDROM_DN",34,"Up",0.0411436428287779,0.366642635809681
"ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_DN",55,"Down",0.0412176493735966,0.366642635809681
"REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING",17,"Up",0.0412227572458377,0.366642635809681
"ZHAN_VARIABLE_EARLY_DIFFERENTIATION_GENES_DN",40,"Up",0.0412688598395985,0.366642635809681
"PODAR_RESPONSE_TO_ADAPHOSTIN_DN",24,"Up",0.0423008905498366,0.375208220190044
"BOUDOUKHA_BOUND_BY_IGF2BP2",144,"Up",0.0424130607540876,0.375377822307337
"SHEPARD_BMYB_TARGETS",85,"Up",0.0425203333485554,0.375377822307337
"GENTILE_UV_LOW_DOSE_UP",48,"Up",0.042523799631631,0.375377822307337
"BIOCARTA_BARRESTIN_PATHWAY",25,"Down",0.0426320394066998,0.375733093718378
"HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_UP",55,"Down",0.0430198860832511,0.378547596331283
"HUMMERICH_MALIGNANT_SKIN_TUMOR_UP",36,"Up",0.0432341182293106,0.379827881295978
"PID_INTEGRIN_A9B1_PATHWAY",28,"Up",0.0433487563055455,0.380130860558177
"BIOCARTA_BARR_MAPK_PATHWAY",28,"Down",0.0434117184752185,0.380130860558177
"REACTOME_MASTL_FACILITATES_MITOTIC_PROGRESSION",12,"Up",0.0435058476404105,0.380130860558177
"BOHN_PRIMARY_IMMUNODEFICIENCY_SYNDROM_UP",55,"Up",0.0436005760202194,0.380130860558177
"BIOCARTA_BARD1_PATHWAY",8,"Up",0.0436628964082976,0.380130860558177
"REACTOME_P75NTR_REGULATES_AXONOGENESIS",8,"Up",0.0438121836217809,0.380130860558177
"SWEET_KRAS_ONCOGENIC_SIGNATURE",126,"Up",0.0438195726839511,0.380130860558177
"NEMETH_INFLAMMATORY_RESPONSE_LPS_DN",64,"Up",0.0438929032824692,0.380130860558177
"POMEROY_MEDULLOBLASTOMA_DESMOPLASIC_VS_CLASSIC_DN",91,"Up",0.0438953172043947,0.380130860558177
"REACTOME_XENOBIOTICS",19,"Down",0.0439565001622647,0.380130860558177
"VANTVEER_BREAST_CANCER_BRCA1_UP",50,"Up",0.0441158482680333,0.380870786166056
"SESTO_RESPONSE_TO_UV_C7",84,"Up",0.044235675655983,0.380870786166056
"CAFFAREL_RESPONSE_TO_THC_UP",52,"Up",0.0442765278169687,0.380870786166056
"BURTON_ADIPOGENESIS_5",144,"Up",0.0443177552487828,0.380870786166056
"YANG_BREAST_CANCER_ESR1_UP",55,"Down",0.0447125997819612,0.383667432290555
"LIANG_SILENCED_BY_METHYLATION_UP",68,"Up",0.0448159177328306,0.383819606964755
"OSADA_ASCL1_TARGETS_DN",40,"Down",0.0448692482988114,0.383819606964755
"REACTOME_SUPPRESSION_OF_APOPTOSIS",7,"Up",0.0452716966820635,0.386581234824765
"REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS",97,"Down",0.045397841403059,0.386581234824765
"REACTOME_COMPETING_ENDOGENOUS_RNAS_CERNAS_REGULATE_PTEN_TRANSLATION",8,"Down",0.0454019582702267,0.386581234824765
"REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION",90,"Up",0.045522171916099,0.387008495397482
"REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE",21,"Up",0.0456688745799711,0.387098545638803
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM",17,"Up",0.0456728649577451,0.387098545638803
"JOSEPH_RESPONSE_TO_SODIUM_BUTYRATE_UP",46,"Up",0.0458986536764683,0.388416478125825
"MEINHOLD_OVARIAN_CANCER_LOW_GRADE_DN",29,"Up",0.0460794181314421,0.389349945862919
"LIAN_LIPA_TARGETS_6M",107,"Up",0.0465109341370066,0.392396064184883
"KIM_GERMINAL_CENTER_T_HELPER_DN",20,"Down",0.0468377276684032,0.394091330900417
"ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN",158,"Up",0.0468545067682906,0.394091330900417
"PID_E2F_PATHWAY",87,"Up",0.0471589505994613,0.396049180870248
"BIOCARTA_DC_PATHWAY",16,"Up",0.0473150958544014,0.396757541261642
"REACTOME_SUMO_IS_CONJUGATED_TO_E1_UBA2_SAE1",5,"Up",0.0478229296507015,0.400408347348146
"KORKOLA_EMBRYONAL_CARCINOMA_DN",24,"Up",0.0480706362797911,0.400842430504722
"KORKOLA_SEMINOMA_DN",24,"Up",0.0480706362797911,0.400842430504722
"GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLACK_UP",54,"Down",0.048092387156104,0.400842430504722
"TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_UP",72,"Up",0.0482371908835943,0.40144385063666
"REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER",85,"Up",0.0483631533393065,0.401599825171049
"PELLICCIOTTA_HDAC_IN_ANTIGEN_PRESENTATION_UP",77,"Up",0.0484216259667116,0.401599825171049
"REACTOME_TRIF_MEDIATED_PROGRAMMED_CELL_DEATH",9,"Up",0.0485664454466684,0.401599825171049
"FLECHNER_PBL_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP",95,"Up",0.048613274560887,0.401599825171049
"REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES",61,"Up",0.0486510688075293,0.401599825171049
"ONO_FOXP3_TARGETS_DN",42,"Up",0.0486919802505614,0.401599825171049
"WEST_ADRENOCORTICAL_TUMOR_UP",407,"Up",0.0487893565601135,0.401803255366896
"BIOCARTA_SUMO_PATHWAY",6,"Up",0.049040219278528,0.403268231745753
"SOUCEK_MYC_TARGETS",21,"Up",0.0497556334486904,0.408543284453882
"REACTOME_RORA_ACTIVATES_GENE_EXPRESSION",24,"Down",0.0500741459972355,0.410548561989203
"ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_2HR",9,"Up",0.05017224794674,0.410743469857311
"REACTOME_HATS_ACETYLATE_HISTONES",141,"Up",0.0503433106646541,0.411076057735562
"ZHOU_TNF_SIGNALING_30MIN",87,"Up",0.0503616523863509,0.411076057735562
"REACTOME_MET_RECEPTOR_ACTIVATION",7,"Down",0.050583209579031,0.412275540020244
"PID_AURORA_A_PATHWAY",41,"Up",0.0507784488615792,0.412872757803542
"REACTOME_PROTEIN_METHYLATION",26,"Up",0.0508059130123794,0.412872757803542
"BIOCARTA_CARM_ER_PATHWAY",41,"Up",0.0514737017197947,0.417685280034634
"GAL_LEUKEMIC_STEM_CELL_DN",282,"Up",0.0518500706223949,0.420122419735123
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",41,"Up",0.0521336057271951,0.421654762009523
"HWANG_PROSTATE_CANCER_MARKERS",37,"Up",0.0521917946461299,0.421654762009523
"REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING",59,"Up",0.0523037495941664,0.421942365339217
"REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM",11,"Down",0.052606839329,0.423768796110866
"REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",26,"Up",0.0527103393985199,0.423970768181907
"LIANG_SILENCED_BY_METHYLATION_2",89,"Up",0.052785358036401,0.423970768181907
"JIANG_AGING_HYPOTHALAMUS_UP",61,"Up",0.053075464258589,0.425682170526797
"CROMER_TUMORIGENESIS_UP",81,"Up",0.0532304221513711,0.426306250447067
"LOPEZ_MESOTHELIOMA_SURVIVAL_DN",42,"Up",0.0534528358811263,0.427035946622505
"LUI_THYROID_CANCER_PAX8_PPARG_DN",55,"Up",0.053546214199271,0.427035946622505
"BIOCARTA_PKC_PATHWAY",14,"Down",0.0535533678989135,0.427035946622505
"KREPPEL_CD99_TARGETS_DN",12,"Down",0.0539669090486229,0.42971345735258
"REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES",40,"Up",0.0542800584390903,0.4315850401934
"MOOTHA_HUMAN_MITODB_6_2002",446,"Up",0.0544317218699487,0.432169102088127
"SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_DN",55,"Up",0.0550822414215734,0.435531891346513
"CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN",808,"Up",0.0551691434738374,0.435531891346513
"REACTOME_FCGR_ACTIVATION",16,"Up",0.055187258958476,0.435531891346513
"BIOCARTA_CARM1_PATHWAY",16,"Down",0.0552328250535052,0.435531891346513
"APPIERTO_RESPONSE_TO_FENRETINIDE_DN",94,"Up",0.0552493405417854,0.435531891346513
"BIOCARTA_EIF_PATHWAY",21,"Up",0.0553850092189722,0.435979431544217
"REACTOME_HIV_LIFE_CYCLE",158,"Up",0.0555625245417924,0.436754638147859
"PATIL_LIVER_CANCER",846,"Up",0.0557063262452504,0.437263009703485
"MATZUK_OVULATION",25,"Down",0.0561238771969085,0.439629565820531
"PHESSE_TARGETS_OF_APC_AND_MBD2_UP",16,"Down",0.0562382638178865,0.439629565820531
"DODD_NASOPHARYNGEAL_CARCINOMA_DN",1695,"Up",0.0562920727334213,0.439629565820531
"REACTOME_REGULATION_OF_FOXO_TRANSCRIPTIONAL_ACTIVITY_BY_ACETYLATION",10,"Down",0.0563260464352037,0.439629565820531
"REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS",12,"Down",0.0565865719808164,0.441040051856124
"SARTIPY_NORMAL_AT_INSULIN_RESISTANCE_DN",20,"Down",0.0567230284532243,0.441480922862701
"GRAHAM_CML_QUIESCENT_VS_CML_DIVIDING_UP",43,"Up",0.056976473652232,0.442829807879373
"MOOTHA_GLUCONEOGENESIS",34,"Up",0.0573100509762611,0.444350630399991
"VILIMAS_NOTCH1_TARGETS_DN",34,"Up",0.0573329713129195,0.444350630399991
"HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_1_UP",42,"Up",0.0577413744749644,0.44688912513817
"REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR",15,"Up",0.0579324963544533,0.447303021744161
"REACTOME_GOLGI_CISTERNAE_PERICENTRIOLAR_STACK_REORGANIZATION",15,"Up",0.057956743316833,0.447303021744161
"FIGUEROA_AML_METHYLATION_CLUSTER_3_DN",81,"Up",0.0582680280511294,0.449078274770629
"BIOCARTA_CASPASE_PATHWAY",26,"Up",0.0586511907431235,0.450464019947692
"GRAHAM_CML_QUIESCENT_VS_NORMAL_DIVIDING_UP",109,"Up",0.0586624395307699,0.450464019947692
"KHETCHOUMIAN_TRIM24_TARGETS_DN",11,"Down",0.0586923804492107,0.450464019947692
"REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA",40,"Up",0.0591770354916441,0.453553811548995
"REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE",20,"Up",0.0594250445108406,0.454823817128678
"ZHONG_SECRETOME_OF_LUNG_CANCER_AND_MACROPHAGE",93,"Up",0.0600220356666087,0.458389397754851
"REACTOME_KINESINS",58,"Up",0.0600568085368281,0.458389397754851
"REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION",22,"Down",0.0601551285814673,0.458506538677501
"BASSO_B_LYMPHOCYTE_NETWORK",200,"Up",0.0602466134858769,0.458571330747873
"PID_ARF6_DOWNSTREAM_PATHWAY",21,"Up",0.0607915845151142,0.461020904919928
"TIEN_INTESTINE_PROBIOTICS_24HR_UP",670,"Up",0.060901650988056,0.461020904919928
"FOURNIER_ACINAR_DEVELOPMENT_LATE_DN",40,"Up",0.0609562536923329,0.461020904919928
"REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB",13,"Up",0.0609855739226325,0.461020904919928
"REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII_CAMKK_CAMKIV_CASCASDE",13,"Up",0.0609855739226325,0.461020904919928
"CAMPS_COLON_CANCER_COPY_NUMBER_DN",110,"Up",0.0611462917724741,0.461604382970891
"REACTOME_CYP2E1_REACTIONS",8,"Down",0.061374878251777,0.462697922536589
"FLECHNER_PBL_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP",204,"Up",0.0617225587785946,0.46390286308823
"BRACHAT_RESPONSE_TO_METHOTREXATE_UP",46,"Up",0.0617450797369829,0.46390286308823
"KEGG_N_GLYCAN_BIOSYNTHESIS",45,"Up",0.0619383975718824,0.46390286308823
"MARTENS_TRETINOIN_RESPONSE_DN",970,"Up",0.0619557571437205,0.46390286308823
"BIOCARTA_CACAM_PATHWAY",10,"Up",0.0620329487961704,0.46390286308823
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN",515,"Up",0.0620539103030774,0.46390286308823
"CHEN_HOXA5_TARGETS_6HR_DN",10,"Up",0.0621223522774683,0.46390286308823
"AKL_HTLV1_INFECTION_UP",35,"Up",0.0623157290738569,0.464718918842285
"REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES",107,"Up",0.0624411360806793,0.464870507924826
"REACTOME_PROTEIN_FOLDING",107,"Up",0.0625043046305005,0.464870507924826
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",17,"Up",0.0626074540575727,0.465011816024391
"KEGG_PYRIMIDINE_METABOLISM",97,"Up",0.0627672106002514,0.465572625204012
"BURTON_ADIPOGENESIS_4",103,"Up",0.0628521600783032,0.465577797041158
"CHEN_ETV5_TARGETS_TESTIS",29,"Up",0.0629525541453513,0.465697207774044
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",52,"Down",0.0630967797948036,0.466140113831664
"SCHAEFFER_SOX9_TARGETS_IN_PROSTATE_DEVELOPMENT_UP",26,"Down",0.063294904638487,0.466622436236126
"BIOCARTA_AMAN_PATHWAY",12,"Up",0.0633309495434482,0.466622436236126
"REACTOME_GLUCONEOGENESIS",30,"Up",0.0638245986114721,0.469633464616504
"SEKI_INFLAMMATORY_RESPONSE_LPS_DN",25,"Down",0.0639725119763807,0.470095879230692
"KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_UP",1580,"Up",0.0642168171444068,0.471264450916324
"RAMASWAMY_METASTASIS_UP",92,"Up",0.0643439056650188,0.471570852393758
"BIOCARTA_PLATELETAPP_PATHWAY",22,"Up",0.0645741283585722,0.472574509664274
"KEGG_ALZHEIMERS_DISEASE",165,"Up",0.0648087923684281,0.472574509664274
"KAPOSI_LIVER_CANCER_MET_DN",10,"Down",0.0648173745864637,0.472574509664274
"GESERICK_TERT_TARGETS_DN",27,"Down",0.0648229240545639,0.472574509664274
"LUND_SILENCED_BY_METHYLATION",24,"Up",0.0651707520188567,0.473566609715856
"CUI_TCF21_TARGETS_DN",71,"Up",0.0652259070152882,0.473566609715856
"SA_CASPASE_CASCADE",23,"Up",0.0652353635675302,0.473566609715856
"REACTOME_2_LTR_CIRCLE_FORMATION",9,"Up",0.0653018017740648,0.473566609715856
"LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_UP",26,"Up",0.0657497067480601,0.476189881375858
"PYEON_HPV_POSITIVE_TUMORS_UP",108,"Up",0.0667153083603421,0.48255077748593
"REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES",29,"Up",0.0670779107958137,0.48453926151329
"REACTOME_PROGRAMMED_CELL_DEATH",216,"Up",0.0672613852303641,0.484985319889217
"REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES",106,"Up",0.0673151900751048,0.484985319889217
"LEE_LIVER_CANCER_DENA_UP",94,"Up",0.0675648026207661,0.485801097757579
"WU_HBX_TARGETS_2_DN",18,"Down",0.0676300169712607,0.485801097757579
"WILLIAMS_ESR1_TARGETS_UP",31,"Up",0.0676921544106652,0.485801097757579
"TESAR_ALK_AND_JAK_TARGETS_MOUSE_ES_D4_UP",4,"Up",0.0678837870784454,0.48588720324472
"REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS",7,"Down",0.0680674899298808,0.48588720324472
"REACTOME_IRS_ACTIVATION",6,"Down",0.0680994876538021,0.48588720324472
"GRAHAM_CML_QUIESCENT_VS_CML_DIVIDING_DN",7,"Up",0.0681393353074059,0.48588720324472
"REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS",11,"Down",0.0682292047669296,0.48588720324472
"SAKAI_TUMOR_INFILTRATING_MONOCYTES_DN",94,"Up",0.0682317172851797,0.48588720324472
"PID_HDAC_CLASSIII_PATHWAY",54,"Up",0.0684985855275565,0.486923276278733
"RIZ_ERYTHROID_DIFFERENTIATION",106,"Up",0.068553439910397,0.486923276278733
"REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION",30,"Down",0.0687548723678081,0.487249740895031
"GROSS_HYPOXIA_VIA_HIF1A_UP",113,"Up",0.0687757506149339,0.487249740895031
"MACLACHLAN_BRCA1_TARGETS_DN",32,"Up",0.0690219437572471,0.488010871901395
"KEGG_TASTE_TRANSDUCTION",46,"Down",0.0690598085101141,0.488010871901395
"REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE",56,"Up",0.0693854378619081,0.488450179082914
"PUJANA_BRCA2_PCC_NETWORK",609,"Up",0.0694990850688925,0.488450179082914
"NIKOLSKY_BREAST_CANCER_19Q13.4_AMPLICON",4,"Up",0.0695994145806225,0.488450179082914
"FLORIO_HUMAN_NEOCORTEX",44,"Down",0.0696114742849997,0.488450179082914
"TERAO_AOX4_TARGETS_SKIN_UP",49,"Up",0.0696266859993837,0.488450179082914
"BIOCARTA_MITOCHONDRIA_PATHWAY",22,"Up",0.0696523237635426,0.488450179082914
"BIOCARTA_DICER_PATHWAY",5,"Down",0.070309392196476,0.492067266723811
"LI_CYTIDINE_ANALOG_PATHWAY",17,"Up",0.0703462071501648,0.492067266723811
"STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN",621,"Up",0.0706724976105817,0.493447277159536
"HUMMEL_BURKITTS_LYMPHOMA_UP",59,"Up",0.0707220853257967,0.493447277159536
"REACTOME_METAL_SEQUESTRATION_BY_ANTIMICROBIAL_PROTEINS",5,"Up",0.0709537102988564,0.494439095979168
"LAMB_CCND1_TARGETS",31,"Up",0.0714634247591475,0.496375551118734
"HILLION_HMGA1B_TARGETS",123,"Up",0.0714858083531775,0.496375551118734
"REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES",39,"Up",0.0715200846605213,0.496375551118734
"REACTOME_NUCLEAR_PORE_COMPLEX_NPC_DISASSEMBLY",37,"Up",0.0715909001523038,0.496375551118734
"GAJATE_RESPONSE_TO_TRABECTEDIN_DN",37,"Up",0.0717096334449955,0.496575732352187
"REACTOME_SIGNALING_BY_NOTCH",278,"Up",0.0718099042873601,0.496647723519339
"REACTOME_SUMOYLATION_OF_SUMOYLATION_PROTEINS",37,"Up",0.0722570954828318,0.499115887047661
"MOOTHA_PYR",7,"Up",0.0724078604222125,0.499532879766725
"LANG_MYB_FAMILY_TARGETS",50,"Up",0.0725833728373689,0.500119349500375
"BIOCARTA_PITX2_PATHWAY",21,"Down",0.073276484339772,0.504204829390801
"REACTOME_HSF1_ACTIVATION",52,"Up",0.0733587916811806,0.504204829390801
"FUNG_IL2_TARGETS_WITH_STAT5_BINDING_SITES_T1",6,"Up",0.0737445905638136,0.506226841559794
"FLECHNER_PBL_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN",59,"Up",0.0740795909597777,0.507895557870635
"REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN",32,"Up",0.0742329852235777,0.508316575397138
"KAUFFMANN_MELANOMA_RELAPSE_DN",10,"Down",0.0745251742568764,0.50936771139447
"BRACHAT_RESPONSE_TO_CAMPTOTHECIN_DN",60,"Up",0.074570843018119,0.50936771139447
"BIOCARTA_MALATEX_PATHWAY",11,"Up",0.0749992659930553,0.511093303358679
"WU_HBX_TARGETS_1_UP",21,"Up",0.075008445353581,0.511093303358679
"MOREAUX_MULTIPLE_MYELOMA_BY_TACI_DN",195,"Up",0.0753070798315403,0.512496210774743
"REACTOME_COLLAGEN_FORMATION",90,"Up",0.0754877011967085,0.513093526215266
"CHEOK_RESPONSE_TO_HD_MTX_DN",34,"Up",0.0756041080217547,0.513253440943755
"REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT",258,"Up",0.075774953411207,0.513782076748871
"SHI_SPARC_TARGETS_UP",34,"Down",0.0764617901038267,0.517256348098994
"GLINSKY_CANCER_DEATH_UP",7,"Up",0.07647456322781,0.517256348098994
"REACTOME_SODIUM_CALCIUM_EXCHANGERS",13,"Up",0.0766436853836407,0.517766510305621
"KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",81,"Up",0.0769364853530455,0.519109912162307
"WEI_MYCN_TARGETS_WITH_E_BOX",947,"Up",0.0770508533852737,0.519247580252467
"KEGG_ONE_CARBON_POOL_BY_FOLATE",18,"Up",0.0772707696751352,0.519954368262672
"REACTOME_HDR_THROUGH_MMEJ_ALT_NHEJ",10,"Up",0.0773439179717546,0.519954368262672
"CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_UP",112,"Down",0.0779269986834672,0.523237660662017
"FUJIWARA_PARK2_IN_LIVER_CANCER_UP",6,"Up",0.0781719164819845,0.524245158348843
"SEIDEN_ONCOGENESIS_BY_MET",129,"Up",0.078357610748899,0.524853523634443
"TIEN_INTESTINE_PROBIOTICS_24HR_DN",295,"Up",0.078575355746788,0.525114320401791
"REACTOME_FGFR2B_LIGAND_BINDING_AND_ACTIVATION",11,"Down",0.0786768986875256,0.525114320401791
"SYED_ESTRADIOL_RESPONSE",31,"Up",0.0786816245553172,0.525114320401791
"TIMOFEEVA_GROWTH_STRESS_VIA_STAT1_DN",27,"Up",0.0788376827726845,0.525521151992587
"REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA",39,"Up",0.0793427668105341,0.526907168203182
"REACTOME_CHOLINE_CATABOLISM",4,"Down",0.0793759328153931,0.526907168203182
"DIRMEIER_LMP1_RESPONSE_LATE_DN",54,"Up",0.0794388992204964,0.526907168203182
"HOLLEMAN_ASPARAGINASE_RESISTANCE_ALL_DN",31,"Up",0.0796083209045843,0.526907168203182
"REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS",46,"Up",0.0796579181247887,0.526907168203182
"CAFFAREL_RESPONSE_TO_THC_24HR_3_UP",13,"Up",0.079673186422987,0.526907168203182
"REACTOME_PENTOSE_PHOSPHATE_PATHWAY",17,"Up",0.0797765459517576,0.526907168203182
"CROONQUIST_NRAS_SIGNALING_UP",53,"Up",0.0798641490703863,0.526907168203182
"ZHENG_GLIOBLASTOMA_PLASTICITY_UP",357,"Up",0.079903765283074,0.526907168203182
